fold,train_accuracy,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,0.9434428418803419,0.9370993589743589,0.9385309100928967,0.9434428418803419,0.9987740736025851,0.9371433487684351,0.9318403137604281,0.9370993589743589,0.9986105796982346,0.9311189754650465
2,0.9427528490028491,0.9471153846153846,0.9379976185647718,0.9427528490028491,0.9987587694382485,0.9364975758199636,0.9433656608116306,0.9471153846153846,0.9988333691811611,0.9406803219331397
3,0.9427194622507122,0.942207532051282,0.9377758493122212,0.9427194622507122,0.9987589442001781,0.9364163363564748,0.9369220527416465,0.942207532051282,0.998717563655298,0.9361037356729134
4,0.9421741452991453,0.9449118589743589,0.9370763173877179,0.9421741452991453,0.998746694362828,0.936120406839844,0.9395985699271745,0.9449118589743589,0.9988177671622924,0.9397631580897999
5,0.9429754273504274,0.9394030448717948,0.9380973033759731,0.9429754273504274,0.998764501246492,0.9366054902861367,0.9339870922890685,0.9394030448717948,0.9986511913073619,0.9325589104220656
6,0.9425859152421653,0.9444110576923077,0.9377219595860982,0.9425859152421653,0.998755605614109,0.9363286200221834,0.9389189861427641,0.9444110576923077,0.9987486213576544,0.9385215628115818
7,0.9427528490028491,0.9411057692307693,0.9376712793629333,0.9427528490028491,0.9987592825151005,0.9363773878988694,0.9360857841613691,0.9411057692307693,0.9987196898361683,0.9342842617122512
8,0.9432202635327636,0.9397035256410257,0.9382577098594704,0.9432202635327636,0.9987697625210529,0.9370774241294642,0.935027427004724,0.9397035256410257,0.9986383216913,0.9334276740843163
9,0.9429086538461539,0.9451121794871795,0.9381094915852168,0.9429086538461539,0.9987624041146306,0.9366876132618083,0.9412287325187892,0.9451121794871795,0.9988103194151372,0.9388071477241661
10,0.9426638176638177,0.9452123397435898,0.9378336444267532,0.9426638176638177,0.9987572811876401,0.9365367472947905,0.9398075351046086,0.9452123397435898,0.9988155016227975,0.9387825347624466
Average,0.9428196225071224,0.9426282051282051,0.9379072083554053,0.9428196225071224,0.9987607318802864,0.9365790950677969,0.9376782154462203,0.9426282051282051,0.9987362924927405,0.9364048282677728
